name,cate,v1
扑满,普通怪,0001-扑满-pm
空间站黑塔·可破坏物·箱子,可破坏物,0002-空间站黑塔箱子-xz
空间站黑塔·可破坏物·罐子,可破坏物,0003-空间站黑塔罐子-gz
重子,普通怪,0004-重子-zz
反重子,普通怪,0004-重子-zz
虚卒·掠夺者,普通怪,0005-虚卒-xz
虚卒·抹消者,普通怪,0005-虚卒-xz
虚卒·篡改者,普通怪,0005-虚卒-xz
虚卒·践踏者,精英怪,0006-践踏者-jtz
兴风者,精英怪,0006-践踏者-jtz
外宇宙之炎,精英怪,0007-外宇宙之x-wyzzx
外宇宙之冰,精英怪,0007-外宇宙之x-wyzzx
次蛰虫,普通怪,0008-蛰虫-zc
幼蛰虫,普通怪,0008-蛰虫-zc
虫群·真蛰虫,精英怪,0008-蛰虫-zc
雅利洛·可破坏物·木桶,可破坏物,0009-雅利洛木桶-mt
雅利洛·可破坏物·罐子,可破坏物,0010-雅利洛罐子-gz
无想面具,普通怪,0004-重子-zz
霜晶造物,普通怪,0011-造物-zw
炎华造物,普通怪,0011-造物-zw
鸣雷造物,普通怪,0011-造物-zw
巽风造物,普通怪,0011-造物-zw
虚数织叶者,普通怪,0012-虚数织叶者-xszyz
自动机兵·战犬,普通怪,0013-自动机兵战犬-zq
自动机兵·蜘蛛,普通怪,0014-自动机兵蜘蛛-zz
自动机兵·甲虫,普通怪,0015-自动机兵甲虫-jc
自动机兵·灰熊,精英怪,0016-自动机兵灰熊-hx
自动机兵·齿狼,精英怪,0017-自动机兵齿狼-cl
深寒徘徊者,精英怪,0016-自动机兵灰熊-hx
炽燃徘徊者,精英怪,0017-自动机兵齿狼-cl
流浪者,普通怪,0018-流浪者-llz
永冬灾影,普通怪,0019-永冬灾影-ydzy
火焚灾影,普通怪,0020-火焚灾影-hfzy
银鬃近卫,普通怪,0021-银鬃士兵-yzsb
银鬃射手,普通怪,0021-银鬃士兵-yzsb
银鬃炮手,普通怪,0021-银鬃士兵-yzsb
银鬃尉官,精英怪,0022-银鬃尉官-yzwg
蚕食者之影,精英怪,0023-守护者之影-shzzy
守护者之影,精英怪,0023-守护者之影-shzzy
布洛妮娅,精英怪,0024-布洛妮娅-blny
杰帕德,精英怪,0025-杰帕德-jpd
史瓦罗,精英怪,0026-史瓦罗-swl
可可利亚,精英怪,0027-可可利亚-kkly
基层员工·外勤,普通怪,0028-基层员工-jcyg
基层员工·安保,普通怪,0028-基层员工-jcyg
资深员工·组长,精英怪,0016-自动机兵灰熊-hx
仙舟罗浮·可破坏物·陶罐,可破坏物,0029-仙舟罗浮陶罐-tg
仙舟罗浮·可破坏物·罐子,可破坏物,0030-仙舟罗浮罐子-gz
入魔机巧·灯昼龙鱼,普通怪,0031-入魔机巧-rmjq
入魔机巧·率从狻猊,普通怪,0031-入魔机巧-rmjq
入魔机巧·浓云金蟾,普通怪,0031-入魔机巧-rmjq
金人司阍,精英怪,0032-金人司阍-jr
云骑巡防士兵,普通怪,0033-云骑巡防士兵-yq
云骑骁卫·彦卿,精英怪,0034-云骑骁卫彦卿-yq
魔阴身士卒,普通怪,0035-魔阴身-mys
「药王秘传」器元士,普通怪,0035-魔阴身-mys
「药王秘传」内丹士,普通怪,0035-魔阴身-mys
「药王秘传」炼形者,精英怪,0036-炼形者-lxz
承露天人,精英怪,0037-承露天人-cltr
丰饶灵兽·奎木,普通怪,0038-丰饶灵兽奎木-frls-km
丰饶灵兽·娄金,普通怪,0039-丰饶灵兽娄金-frls-lj
丰饶灵兽·长右,精英怪,0040-丰饶灵兽长右-frls-cy
丰饶玄鹿,精英怪,0041-丰饶玄鹿-frxl
魔阴武弁,普通怪,0042-武弁-wb
幽府武弁,普通怪,0042-武弁-wb
金人勾魂使,精英怪,0043-金人勾魂使-jrghs
匹诺康尼·可破坏物·气球,可破坏物,0044-匹诺康尼气球-qq
匹诺康尼·可破坏物·可乐,可破坏物,0045-匹诺康尼可乐-kl
惊梦剧团的圆幕先生,普通怪,0046-惊梦剧团的圆幕先生-jmjt-ymxs
惊梦剧团的十七分热,精英怪,0047-惊梦剧团的十七分热-jmjt-sqfr
惊梦剧团的气泡埋伏,普通怪,0048-惊梦剧团的气泡埋伏-jmjt-qpmf
惊梦剧团的弹簧荷官,普通怪,0049-惊梦剧团的弹簧荷官-jmjt-thhg
惊梦剧团的甜猿泰山,精英怪,0050-惊梦剧团的甜猿泰山-jmjt-tyts
惊梦剧团的舞鸫假面,普通怪,0011-造物-zw
惊梦剧团的发条暴徒,普通怪,0051-惊梦剧团的发条暴徒-jmjt-ftbt
忆域迷因「视线无处不在」,普通怪,0004-重子-zz
忆域迷因「我心支离破碎」,普通怪,0052-我心支离破碎-yymy-wxzlps
忆域迷因「何物藏于镜中」,普通怪,0053-何物藏于镜中-yymy-hwcyjz
忆域迷因「狂怒褪去之壳」,精英怪,0054-狂怒褪去之壳-yymy-kltqzk
忆域迷因「何物朝向死亡」,精英怪,0055-何物朝向死亡-yymy-hwcxsw
王下一桶,精英怪,0056-王下一桶-wxyt
「星核猎手」卡芙卡,精英怪,0057-「星核猎手」卡芙卡-kfk
「星核猎手」萨姆,精英怪,0058-「星核猎手」萨姆-sm
「石心十人」诡弈砂金,精英怪,0059-「石心十人」诡弈砂金-sj
模拟宇宙·下层入口,模拟宇宙下层入口,0060-模拟宇宙下层入口-mnyz-xcrk
模拟宇宙·事件,模拟宇宙事件,0061-模拟宇宙事件-mnyz-sj
模拟宇宙·沉浸奖励,模拟宇宙沉浸奖励,0062-模拟宇宙沉浸奖励-mnyz-cjjl
模拟宇宙·黑塔,模拟宇宙黑塔,0063-模拟宇宙黑塔-mnyz-ht
模拟宇宙·复活装置,模拟宇宙复活装置,0064-模拟宇宙复活装置-mnyz-fhzz
模拟宇宙·下载装置,模拟宇宙下载装置,0065-模拟宇宙下载装置-mnyz-xzzz
模拟宇宙·下层入口-未激活,模拟宇宙下层入口未激活,0066-模拟宇宙下层入口未激活-mnyz-xcrkwjh
界面提示-被发现,界面提示被发现,0067-被发现-bfx
界面提示-被锁定,界面提示被锁定,0068-被锁定-bsd
界面提示-可攻击,界面提示可攻击,0069-可攻击-kgj
惊梦剧团的幸运贩卖,普通怪,0070-惊梦剧团的幸运贩卖-jmjt-xyfm
忆域迷因「虚荣永无餍足」,普通怪,0071-虚荣永无餍足-yymy-xrywyz
「醉于盛会的此刻」,精英怪,0072-醉于盛会的此刻-zyshdck
「同音共律的来日」,精英怪,0073-同音共律的来日-tygldlr
「身陷樊笼的往昔」,精英怪,0074-身陷樊笼的往昔-sxfldwx